"tx_date","address","symbol","entryPrice","token_amount_received","TP_price_1","TP_price_2","amount_to_sell","PNL","value_USD"
"11-04-2024 16:17:34","GreWT7ySJdyjnwfvDUVg5Sze8ai8LsbMxCGvdVUhLsiL","DED","0.000068062","44838.793632005","0.000170155","0.000680620","31387.155542403","52.96","4.67"
"11-04-2024 12:06:15","AHpwBGXfCALhhmL1nztWSD65Poqaa8gGtEBej32DpjHW","KC","0.000029233","102622.558872","0.000073082","0.000292330","71835.7912104","52.22","4.57"
"11-04-2024 02:13:29","BeQJz11NPQkn7cNL2zXbFg3UP88QnSmPLSsdus8pLRoi","PUNPUN","0.000025205","119022.062535","","0.000252050","83315.4437745","50.14","1.35"
"2024-04-10T04:24:22.610Z","AmwHDyieggfubRAq31GSRLy8vF2hFXavuGwksda9TFTi","Skoot","0.000039882","37610.856318","0.000099705","0.000398820","26327.5994226","43.49","2.15"
"2024-04-09T23:31:38.182Z","BERtvCv6q5GnRz75C6uTVjLhDVFB8VBCgt3V8L21L7LB","ECLPS","0.000034196","58485.650886","","","40939.96","43.20",""
"11-04-2024 16:26:37","FJxaCXiuNAKHPZdUHBV634DkRy3eQhW5cHqetwBzq1yd","TCG","0.000064564","46749.223608753","0.000161410","0.000645640","32724.456526127","42.00","4.29"
"2024-04-09T10:47:59.657Z","A9pvkr5bDG2orUSAd6ujNwBri3UvdaTChRLRzpm3VnnP","JEETO","0.000034159","58549.924758","","","40984.95","40.40",""
"12-04-2024 03:53:03","AmEriCAq4JpHxZNBNEaKJb1VRptQGv1CRHz5ytNqBpN","fleg","0.000117099","25961.223945892","0.000292748","0.001170990","18172.856762124","27.69","3.88"
"10-04-2024 18:44:42","BfzDprtbPQavt3FVivYSCkDE2c7o2bpHyGzR6RdKnQHY","DUCKS","0.000037032","81012.047100981","0.000092580","0.000370320","56708.432970687","27.21","3.82"
"2024-04-07T13:11:49.024Z","CXo9Zh8uivpcLBvFUki78fqFo6n7rDaXikm9hNPgjnfM","205/45R16","0.000118012","8473.736219","0.000295030","0.001180120","5931.62","26.70","3.38"
"2024-04-10T03:25:37.201Z","F89doZeeUe9ajcU6gNR1F5RLaQWcJMdPDNSuLuvJUst9","NARD","0.000121008","16527.781406","0.000302520","0.001210080","11569.4469842","26.70","2.53"
"2024-04-09T10:56:33.496Z","A9pvkr5bDG2orUSAd6ujNwBri3UvdaTChRLRzpm3VnnP","JEETO","0.000038261","52272.781342","","","36590.95","25.35",""
"2024-04-10T00:18:56.059Z","5kx3accCXXKn6ECzY1YkfS1qWy6D3HdJyqN8y58BRvY4","RAMEN","0.000095759","20885.862138142","","","14620.1","24.97",""
"2024-04-07T13:41:54.815Z","FkLtrasDw4qtfPi9qsFXfsG4dB6mrKeZtroht5iLZBbV","GL","0.000010684","187203.16521514","","0.000106840","131042.22","24.64","0.75"
"11-04-2024 19:11:29","EoxqshrSY5mbi2Y2WGE7sA5GTaVtmE1J8vgCQumjyLx5","$ELDER","0.000013984","218070.010532","0.000034960","0.000139840","152649.0073724","22.74","3.74"
"2024-04-09T10:52:17.973Z","A9pvkr5bDG2orUSAd6ujNwBri3UvdaTChRLRzpm3VnnP","JEETO","0.000039090","51163.531644","","","35814.47","22.69",""
"2024-04-06T15:36:28.113Z","CMUt6g8VCETaXAKfZWrKvCSRuG7Kq5dt2WULxsKPHPj9","ONLYFANS","0.001838169","272.009812248","0.004595422","0.018381690","190.41","21.93","0.84"
"2024-04-08T12:31:14.913Z","6WrJFnajEVqfJWJjqBrpSCtenVhWEv39ZkNs91N6bYA8","CCAT","0.000060186","33230.592918043","","","23261.42","15.95",""
"10-04-2024 21:03:05","8rEEAvq6kujW2ukjYHfutH5eToAwsK4aaJ8p1ApoMs9g","SD","0.000048906","61342.065473","","0.000489060","42939.4458311","14.73","1.47"
"2024-04-09T07:40:54.954Z","MoLoC3NFynexARUb7uJsmtsf7zm4NrSHeqWwzPrEQLu","MOLO","0.000283999","7042.284055","0.000709998","0.002839990","4929.6","14.48","2.29"
"2024-04-08T03:31:26.182Z","6W2373i4UWnMUMZHo6te6SZeoP1QfFZAVQCjKBXiHyuZ","LBF","0.000457487","2185.852699233","0.001143717","0.004574870","1530.1","14.14","1.14"
