date_time,address,symbol,token_amount_sold,sol_received,profit_in_usd
2024-04-06T13:31:14.102Z,7dLqT6NtSGg9WK2e8ZqiHYdrY9ZANu8hKvCtSPo1F6E1,FUMO,35.0,5.2929e-05,0.0092153557451851
2024-04-06T13:34:25.765Z,5QhurU6hPiQthMgWzVjytiCEk5vNreUs5UFTPdUv8q7k,MEWTWO,2200.0,0.051056625,8.894677119429375
2024-04-06T14:31:41.440Z,wo1zgt8rfrYpvdVi4nidoj1SYfcR4pQx69bmNv2JLhQ,EGG,7.647944723,0.001832268,0.3199116353272226
2024-04-06T14:32:24.518Z,4f76dmS2BjvzE31X2PQRAmnMrzE6LGjM4ypb5rVwQAEi,CUSS,58497.39771226,0.001077374,0.1880623197830242
2024-04-06T21:34:52.519Z,CMUt6g8VCETaXAKfZWrKvCSRuG7Kq5dt2WULxsKPHPj9,ONLYFANS,450.0,0.026775497,4.757840989159084
2024-04-06T21:46:45.564Z,DsSTWsoBe9Rjf5pFYhvDFqqW1LuQokoSPKDz33WGXbCW,BAGS,24000.0,0.019043124,3.3769284381102214
2024-04-07T11:41:45.184Z,5QhurU6hPiQthMgWzVjytiCEk5vNreUs5UFTPdUv8q7k,MEWTWO,1575.0,0.024257787,4.384442151140617
2024-04-07T11:47:28.910Z,32ZhT7wit3mCpuesU7KPS7LTn3w5xceLiJqLv5zVGXg5,SAC,27000.0,0.02430736,4.389379453895258
2024-04-07T18:29:21.386Z,FkLtrasDw4qtfPi9qsFXfsG4dB6mrKeZtroht5iLZBbV,GL,131042.22,0.020620226,3.689158447091181
2024-04-07T23:53:10.336Z,4TqWC9qkb2ggN6B2TtNHBkKgjHoKd3erbdWjZEAPnLsy,utxo,97000.0,0.031587757,5.766115704200549
2024-04-08T03:10:33.167Z,EQ8B4tm9oEzktSVywMSQZeBuofEdAEBqdjhAxR6VjGRE,bruv,16932.85,0.014457446,2.607597731829572
2024-04-08 05:41:44,864YJRb3JAVARC4FNuDtPKFxdEsYRbB39Nwxkzudxy46,HABIBI,4443.38,0.013787088,2.506844310226272
2024-04-08 09:03:06,AZSkuvZvhw9AtFLLW2hWeRTbLy1PGdBFgx5mpXQg9cJT,COW,510641.649,0.010045168,1.7987532303332128
2024-04-08 17:04:40,FomN1crdYumnYJHajh1r6uCKRfnuTCFtvwueiF7jcjdC,MEOW,25973.18,0.028060406,4.994386746044675
2024-04-09 02:09:58,Hoik5MwfyRUu8s8A2Wi32iLeda2qcDsRRjNUSj58Tesv,CWIFP,10515.167507,0.002491354,0.4352155732829309
2024-04-09 02:11:04,6Hfwp6Fht1pEtusLsDqKuovBisPbFVoA7jZQYeK1aMmG,FOFAR,21886.43687843,0.001660697,0.2904345753025674
2024-04-09 02:13:03,A2H7towFaMotNmEgY9ePa4VyqirTitZQRcM9e9Xxc7gd,MEOWTY,7818.52803211,0.003172465,0.5533872482495877
2024-04-09 02:14:12,NFTTeeQ7Fx5ENiY9iEw2Psffx9mtUNw6X3mpfymxMHb,NFTT,2190.382104299,0.007231931,1.261046757254653
2024-04-09 02:15:21,BLF27NgaNYRJzqG58u539BiN7KFkKVoTdqmoT3DKg8w1,DWIF,3335.980647,0.002652566,0.461156265101089
2024-04-09 02:16:55,A84CAxXPEzWrnN86cdeeGaPT4XT5qBPhYUX31o2RpvJA,lio,45887257.40394,0.00263154,0.4573002353763325
2024-04-09 02:18:18,5LK7XEx3G8LHouTgcRazK9Er3t9N2DhUjtzHCLgPrHqe,Wef ,17845.874,0.000311722,0.0541269889195799
2024-04-09 02:21:29,hWWTdtH3k29hp3LRrC6v8a8JgELv2ZaqsBJ35pvTZEh,CASINU,4354.208441573,0.001316635,0.2282602978290324
2024-04-09 02:22:36,C6ggTj11LYqH4oQr7oSo15HxD16K3HDqqizMbr73wC4E,MOMSBASE,32306.790757413,0.002681386,0.465619086554584
2024-04-09 02:23:54,6AFwZjH4o4vyNbFqJGYwSXX8acL5yZLYhvQVNSUPZBm,Americat,83402.3105,0.002643921,0.4596267994707243
2024-04-09 02:25:21,BPyGSNLHQRCruZgcoVTNmnnwpQEx1RvJhbZLeY7VqZVa,Peko,6489.193709686,0.005918166,1.028729957237298
2024-04-09 02:32:50,pAtqKs3vce1CgYa6jhHchmS4dtehzrGJFQF3PKx6Yur,MEME,699383.810158799,0.001477294,0.2572775757384744
2024-04-09 02:36:21,4MKuAnScYHpGJqfC74ogHSjbcK26M6RBXCYBS2AEcdYg,$PEPETARD,356654.044597,0.002584995,0.4506209446342023
2024-04-09 02:43:22,EYJtBjaEhA6vKuAw8mBXaxgDY1e48ZDmknznKFZuhLXt,$HOSTCAT,31650.395015,0.005379468,0.9360596636458444
2024-04-09 03:47:40,2xhiipmqiRjZNHHry6uk8aJncnqjWdBifv5g1SJGhQSk,TRUMPT,49314.71751117,0.004072403,0.6939885934243568
2024-04-09 04:30:46,CostcoTwT6LgV53hLhKpoauHKaoahNxnFAYEeukAinoB,CHURRO,5917.854837162,0.002909152,0.5028848681072489
2024-04-09 05:01:52,5kx3accCXXKn6ECzY1YkfS1qWy6D3HdJyqN8y58BRvY4,RAMEN,19862.105264667,0.010123458,1.7584362005087013
2024-04-09 05:12:12,CPoTXyyKQ2gwKuuwmJmGA11G8bf3ppBQh4ctyReiU1Cy,MUPs,197653.802352037,0.007746367,1.345469370979846
2024-04-09 05:33:11,9SiKU8vnRiBYQSBff84K5zwG7habzwYVzn7KrtgCzNfg,PEDRO,19759.02,0.016970025,2.957232881963185
