buy_date,sell_date,address,symbol,entryPrice,exitPrice,usd_spent,usd_received,result_usd
14-04-2024 16:54:04,15-04-2024 02:36:05,9Ji8ukZVRLGckAT3MWbt1BVXMp42f8EmASsD9RwoXDFX,HUSH,0.000161619,0.000158756,4,3.929133,-0.07
15-04-2024 02:58:57,15-04-2024 03:11:27,4RTJDK1QNJ1A6ALpqX2QkAdKgsXh5LjF34k1UXDKPt1t,DOG,0.000075914,0.000137629,2,3.625905,1.63
15-04-2024 02:58:57,15-04-2024 03:39:39,4RTJDK1QNJ1A6ALpqX2QkAdKgsXh5LjF34k1UXDKPt1t,DOG,0.000075914,0.000091922,2,2.421727,0.42
15-04-2024 02:10:27,15-04-2024 04:17:08,6y56NYaUtKtjT5LKrVvZ3rsLnKyQ96phU3ckSARUkNax,puten,0.011877404,0.007285753,2,1.226848,-0.77
13-04-2024 15:40:11,15-04-2024 04:31:44,3QSfMQSASQ6T36xvcuRUoYWveTpRcv5pVa6feDpdUVXp,LOM,0.000108165,0.000053079,4,1.962903,-2.04
15-04-2024 04:30:47,15-04-2024 04:42:53,3QSfMQSASQ6T36xvcuRUoYWveTpRcv5pVa6feDpdUVXp,LOM,0.000026232,0.000025620,2,1.953335,-0.05
13-04-2024 15:40:11,15-04-2024 04:45:29,3QSfMQSASQ6T36xvcuRUoYWveTpRcv5pVa6feDpdUVXp,LOM,0.000108165,0.000053224,4,1.968255,-2.03
15-04-2024 03:36:59,15-04-2024 04:47:53,ETkyH7Jxp15PBcWFgnNJQ4Xg4zUNYdZYSToyEHJwmPqd,$Bombden,0.000014301,0.000009116,2,1.274813,-0.73
14-04-2024 22:15:17,15-04-2024 04:50:33,APnUsTJZNkxBaZXTzAqFoY1hLtkJhZCPDBEMtoLEEeiM,OIL,0.000019291,0.000011673,3,1.815277,-1.18
15-04-2024 03:01:42,15-04-2024 05:25:06,5zYxj5uSYWxvCx7mrU1NbDbxDzpFtWrpZ922bFCPr4zW,shromp,0.000117119,0.000070131,2,1.197605,-0.80
15-04-2024 02:58:57,15-04-2024 05:30:29,4RTJDK1QNJ1A6ALpqX2QkAdKgsXh5LjF34k1UXDKPt1t,DOG,0.000075914,0.000091652,2,2.41462,0.41
13-04-2024 15:40:11,15-04-2024 05:59:15,3QSfMQSASQ6T36xvcuRUoYWveTpRcv5pVa6feDpdUVXp,LOM,0.000108165,0.000054402,4,2.011823,-1.99
15-04-2024 04:30:47,15-04-2024 06:03:52,3QSfMQSASQ6T36xvcuRUoYWveTpRcv5pVa6feDpdUVXp,LOM,0.000026232,0.000025361,2,1.933643,-0.07
15-04-2024 04:30:47,15-04-2024 06:08:32,3QSfMQSASQ6T36xvcuRUoYWveTpRcv5pVa6feDpdUVXp,LOM,0.000026232,0.000026666,2,2.033093,0.03
13-04-2024 15:40:11,15-04-2024 06:10:34,3QSfMQSASQ6T36xvcuRUoYWveTpRcv5pVa6feDpdUVXp,LOM,0.000108165,0.000054358,4,2.0102,-1.99
13-04-2024 15:40:11,15-04-2024 06:15:36,3QSfMQSASQ6T36xvcuRUoYWveTpRcv5pVa6feDpdUVXp,LOM,0.000108165,0.000051703,4,1.911993,-2.09
13-04-2024 15:09:25,15-04-2024 06:35:08,F8LvhqLXkcXCztkGGLaRMcU33pVdEoNFn8GUHrZNEqYP,OF,0.000075556,0.000036836,4,1.950139,-2.05
15-04-2024 02:01:36,15-04-2024 06:38:12,EpsgsCyMK6gwVQYsSb2uJSMiqsCJmWceqJdoBZTdNJbm,SATOJEET,0.000026222,0.000013041,2,0.994678,-1.01
15-04-2024 03:42:01,15-04-2024 06:42:20,B7RZsCsfgBtWZmnTBsgoMjdNDMM7TEMdfnyntDy5Bc2W,PEEZY,0.059417491,0.101949733,2,3.431628,1.43
