tx_date,address,symbol,usd_spent,sol_spent,entryPrice,token_amount_received,TP_price_1,TP_price_2,TP_price_3,PNL,USD_value
23-04-2024 19:48:06,DZSU5wHHGCsjSm2ovLzCGwfFoN7DAd2MjReLneBP3eB,mPORK,6.00,0.04,0.000017401,344811.87,0.000029581,0.000042632,0.000080914,,
23-04-2024 20:23:36,7XkTizeHkx1S3k4QvmbcRbsH2HqLmBFxNokrn4KmGdjk,SD,6.00,0.04,0.000115828,51800.98,0.000196907,0.000283778,0.000538600,,
23-04-2024 20:50:35,5obZn6LLBZawB47FKs5wSHjMyWHmrtg3Gq6f1bFYKuud,Biden2024,6.00,0.04,0.000032114,186833.28,0.000054594,0.000078680,0.000149331,,
23-04-2024 22:43:35,B488sUuqkv6t81BP47p9wJtvgS5Rk5c6gDsFZfqCCBfN,UNKNOWN,6.00,0.04,0.000095987,62508.54,0.000163178,0.000235168,0.000446339,,
24-04-2024 01:23:07,s2BbxpZPpXMScWue545QkCzPBf3C1mTy3sNHUak8brn,CICADA,6.00,0.04,0.000128265,46778.28,0.000218050,0.000314248,0.000596431,,
24-04-2024 01:58:24,2sLEK6E3LY36ZftXjYWhDQW8fRqcSzZDBWhxMd2w1TBj,spoden,6.00,0.04,0.004316257,1390.09,0.007337636,0.010574829,0.020070594,,
24-04-2024 05:00:50,BbciExji4fhSbqcEWRvqrvNpumJy2y3kCKajc2XGDvLi,NUKEY,6.00,0.04,0.000019604,306059.91,0.000033327,0.000048030,0.000091159,,
24-04-2024 06:02:19,FNZCs8P7A2XX2WsgvJSq5r7NqHsjqz3DPndjGDXv68DR,Rub,6.00,0.04,0.000041423,144847.95,0.000070419,0.000101486,0.000192616,,
24-04-2024 06:28:47,4RzZDnV6nY6TozYDfEqe2HHHvHjSwSqi29V3zLFwRDGR,BLENCAT,6.00,0.04,0.000059943,100095.32,0.000101903,0.000146860,0.000278734,,
24-04-2024 06:55:39,7AfFQr9jAHR42J4HZ4kncuVXzn43Zqp6t7Bg3ydSgJ4a,WONY,6.00,0.04,0.000075314,79666.45,0.000128034,0.000184519,0.000350210,,
24-04-2024 08:00:06,HpRK3TzEYu875GvuGc34pQHUEDNKLy4izXkci1GxEY1j,GUMMIE,6.00,0.04,0.000045985,130476.26,0.000078175,0.000112664,0.000213832,,
24-04-2024 08:01:33,DhD7vTm2WHaYsnhTDzCAwEb82ZzkSDuXm9VuY1efa9h6,SOLGUDMAN,6.00,0.04,0.000072445,82821.43,0.000123157,0.000177490,0.000336869,,
24-04-2024 08:08:53,HzAHz3e6FqZq4HQEcJadJVLRQ8z2m1hs9mLjb1oNaWfj,eltman,6.00,0.04,0.000096061,62460.37,0.000163304,0.000235349,0.000446683,,
24-04-2024 08:37:22,FPg24u7bba4za31qXjRdHV38PSrgx2vAbA5vsPSCj36Q,BORI,6.00,0.04,0.000075285,79697.39,0.000127984,0.000184448,0.000350074,,
24-04-2024 09:48:05,HKe2YBWf6HH9E2hgdVQiJZM48rXam3Bued9Xb6U1Td4E,PATEK,6.00,0.04,0.000153146,39178.24,0.000260349,0.000375208,0.000712130,,
24-04-2024 09:52:43,CuDEjiF3MG5hLXrGJe2vspVyLiV48HGZb9dvdgygQbpG,,1.00,0.00,0.000028877,34629.24,0.000049091,0.000070749,0.000134280,,
24-04-2024 10:06:04,8CHWEAAgDb2iSzchPLjNhsYpA2E1sMnVDMDQE9HHxHHX,,1.00,0.00,0.000013727,72851.45,0.000023335,0.000033630,0.000063829,,
24-04-2024 10:20:22,8CHWEAAgDb2iSzchPLjNhsYpA2E1sMnVDMDQE9HHxHHX,,1.00,0.00,0.000013442,74391.62,0.000022852,0.000032934,0.000062507,,
24-04-2024 11:02:16,GbN9eERHQmmBBePukqdh47PSRfbd62Mcx7UVm1QW4cHU,$CJC,6.00,0.04,0.000039320,152595.34,0.000066843,0.000096333,0.000182837,,
24-04-2024 12:52:43,Fn5TpxS4H3jwV5jwD9HYoEDvxnNxDyEknwKaq2Mn3fbf,FLAN,6.00,0.04,0.000252066,23803.32,0.000428512,0.000617561,0.001172105,,
24-04-2024 13:21:55,5WJTrqvmEkNmdmWUPmBaQio4kfHHnCMom7VN5quU5Rdi,OCTPUS,6.00,0.04,0.000185414,32359.93,0.000315205,0.000454265,0.000862177,,
24-04-2024 13:26:57,FPgtxP3mGT5Y97jem8xe26kb3SifVNB5uG5dKYAqmKXq,RICH,6.00,0.04,0.000024526,244638.99,0.000041694,0.000060089,0.000114046,,
