"tx_date","address","entryPrice","token_amount_received","TP_price","amount_to_sell","PNL"
"2024-04-07T16:08:25.991Z","5kx3accCXXKn6ECzY1YkfS1qWy6D3HdJyqN8y58BRvY4","0.0001130529080473","8845.415985062","0.000395685","6191.79","-24.77"
"2024-04-10T01:49:26.446Z","3KBrU5Zjg2wYXQie55D553Mi37WLPvXC1NGnZF3DskbB","0.000034050723533063474","58735.903161","0.000119178","41115.13","-5.73"
"2024-04-09T01:18:48.387Z","6UtqbpB4QocTUZktKFn35qEiSiuhvxqmwso8YZwZcXBJ","6.83310718474e-05","43903.89202","0.000239159","30732.72","-48.23"
"2024-04-09T08:24:40.426Z","47psVap1QaXYYEPhFn7pZuvR8m9GQaX8wDodZuY3fWL7","1.00300555238e-05","299101.036166","3.5105e-05","209370.73","-42.40"
"2024-04-07T17:11:38.113Z","6SKeubG7DiSn7ku2ZZn1HodoQ3LnMicWib42RKGH3DjK","2.51008893671e-05","39839.225828674","8.7853e-05","27887.46","-33.98"
"2024-04-07T12:03:47.220Z","VCLVJeVmrA7Wf4NnFqPbeJr7R1qoH6CG75aeXS7DVUU","4.1223118331e-06","242582.327704","1.4428e-05","169807.63","-35.71"
"2024-04-08T21:42:27.599Z","7PzXVMYvt9Zxr1fXjAyW8ipdugKUzB59nKTNZD1ToMTP","6.584641303991824e-07","3037371.221402045","2.305e-06","2126159.85","-35.92"
"2024-04-08T20:22:17.477Z","D2oVMuxj5UC9XLzgkQgbsjT95qYHJxt243s7JTycBqcq","2.3322250201e-06","857550.186057704","8.163e-06","600285.13","-38.57"
"2024-04-07T12:58:10.780Z","6Hfwp6Fht1pEtusLsDqKuovBisPbFVoA7jZQYeK1aMmG","4.56903974618e-05","21886.43687843","","15320.51","-38.83"
"2024-04-08T21:40:50.312Z","H94dHwwaRPhCAcSzhcW4ViY6PdmgMmvmEahvTUjHXAKn","9.9801596396e-06","200397.596052","3.4931e-05","140278.32","-39.06"
"2024-04-08T12:21:20.442Z","7Qnuo3894Dt5jxaAaGVGnMPdHPGyc6HrnjdUdCP1NM23","3.77691321315e-05","52953.295115","0.000132192","37067.31","-35.01"
"2024-04-09T06:31:26.986Z","4fPYNqMEahehGk8fTRLuCpM7Xmpupi8vhJCNBvCKENvX","0.0006246555469403","3201.764572165","0.002186294","2241.24","-42.65"
"2024-04-08T22:10:18.078Z","Ckf8z3jeM1sJDnMz3krpw6K58BZVCD5aBpmJmaqNPxAg","2.4578304975e-06","406862.882127537","8.602e-06","284804.02","-43.39"
"2024-04-07T16:26:13.025Z","G2YKoNxQLAwhteTrWhFcTJtWLKKVAPxSvjxXtqjchFdh","2.22964737319e-05","44850.141418","7.8038e-05","31395.1","-44.39"
"2024-04-07T15:19:06.652Z","BSviRmk43XyKRXAf7ZEzcgwAbQ399CYkcwbkBxpA4EYq","4.83637950156e-05","20676.62390174","0.000169273","14473.64","-45.55"
"2024-04-07T18:50:26.250Z","C6ggTj11LYqH4oQr7oSo15HxD16K3HDqqizMbr73wC4E","3.09532447066e-05","32306.790757413","","22614.75","-48.81"
"2024-04-08T12:13:34.283Z","6eWSt4TLkSrkZdtjKTwFUbAmZcFfVXUCy7w7Ztskuztc","3.28028881488e-05","60970.241124007","0.00011481","42679.17","-50.58"
"2024-04-08T08:21:45.541Z","CsP3CBf6EUGKpVjSNSwsr3v2h4ikrTxpV8G2euPhzcbF","3.52281892289e-05","56772.71650281","","39740.9","-51.06"
"2024-04-08T07:23:50.915Z","HqpzYVHbZaAioFJUiB3PTzmLrb69JzE9p6BJPecrFg2D","6.443379942679163e-10","3103960992.2","2e-09","2172772694.54","-47.12"
"2024-04-08T05:41:45.012Z","5kx3accCXXKn6ECzY1YkfS1qWy6D3HdJyqN8y58BRvY4","0.0001815427438534","11016.689279605","0.0006354","7711.68","-53.15"
"2024-04-08T08:37:15.520Z","AZSkuvZvhw9AtFLLW2hWeRTbLy1PGdBFgx5mpXQg9cJT","3.9166409602e-06","510641.649386312","","357449.15","-53.92"
"2024-04-08T12:29:24.162Z","4GCJwmLfuk1F6s5Z6TxeLoBYQocaDh9yNLFxPokDHV7r","8.20156477883e-05","24385.590481","","17069.91","-55.04"
