buy_date,sell_date,address,symbol,entryPrice,exitPrice,message,usd_spent,usd_received,result_usd
16-04-2024 20:35:08,16-04-2024 21:39:54,4qdmx7Z9S2g46Y621xBeMKBWgWg5ayWsxY7vDG5Hr7wR,jebs,0.000042454,0.000029638,-25% SL reached!!,4,2.792432,-1.21
16-04-2024 20:42:38,16-04-2024 21:41:35,43eeGP8k9AZKBSyd9iahhThNtE3vcZvBWMaHNd2akM5s,JUM,0.000104867,0.000182304,TP 1 Reached!!,4,4.867592,2.95
16-04-2024 12:05:45,16-04-2024 21:53:29,AGQZdsUrsoxsC66cvyc8KhcNPfSuDk3PzbZYaAvEBeWz,WHYTE,0.000046704,0.000120610,TP 2 Reached!!,2,0.728287,3.16
16-04-2024 21:28:39,16-04-2024 21:54:28,GerRJ4R3NZj1HK7g1am4KfBeWfnj9CM8PwRSxjtNwBFT,Weed,0.000218467,0.000424081,TP 1 Reached!!,3,4.076445,2.82
16-04-2024 21:50:05,16-04-2024 21:57:22,FS9C49PpwCmqXbcUW4d5EFAYpnyi38ojff9263NcZaN2,FUD,0.000064010,0.000047515,-25% SL reached!!,3,2.226951,-0.77
16-04-2024 21:28:39,16-04-2024 22:17:47,GerRJ4R3NZj1HK7g1am4KfBeWfnj9CM8PwRSxjtNwBFT,Weed,0.000218467,0.000527219,TP 2 Reached!!,3,1.41176,4.24
16-04-2024 20:46:57,16-04-2024 22:28:09,Derwt6jk8XzZFU4inEVRvf4212m2QADoqv4vMnMH3mhY,WALL,0.000030644,0.000052999,TP 1 Reached!!,4,4.84264,2.92
16-04-2024 20:42:38,16-04-2024 22:34:09,43eeGP8k9AZKBSyd9iahhThNtE3vcZvBWMaHNd2akM5s,JUM,0.000104867,0.000121670,Breakeaven SL reached!!,4,1.39227,0.64
16-04-2024 22:32:33,16-04-2024 22:46:38,H89mdwWDXkmfRcn7ksiZ8sKuhdufnujH1kZH7pLjNLqT,KANG,0.000080792,0.000053790,-25% SL reached!!,3,1.997348,-1.00
16-04-2024 12:50:31,16-04-2024 22:47:21,97oWtQfbZMdDbn1jdNciDHm2vnPBR8VT3Ns7vSS7i9cm,$PITALIK,0.000050367,0.000126012,TP 2 Reached!!,2,0.975735,3.00
16-04-2024 18:04:38,16-04-2024 22:48:17,FS5sF7une4vuxF2d7bZ7rZFFomULQE3msQ54TFP5tQKd,FEWAWI,0.000112997,0.000084169,-25% SL reached!!,4,2.979531,-1.02
