tx_date,address,symbol,entryPrice,token_amount_received,TP_price_1,TP_price_2,amount_to_sell,PNL
2024-04-09T05:08:35.619Z,HKHnQZ5YM9JJfJwmeHu5V8LRyKWSM2mMTXBtQBSVPkbN,WARDOG,6.9829e-05,28641.584866281,,0.00069829,,10.16
2024-04-09T01:18:48.387Z,6UtqbpB4QocTUZktKFn35qEiSiuhvxqmwso8YZwZcXBJ,CATG,6.8331e-05,43903.89202,,0.00068331,,8.88
2024-04-07T17:35:50.546Z,CXo9Zh8uivpcLBvFUki78fqFo6n7rDaXikm9hNPgjnfM,205/45R16,0.000141183,7083.017327,,0.00141183,,3.94
11-04-2024 12:33:49,C46fj9922NZWFsjePXNiwAJFWTmhDRrAotVCyjtDxJCc,WRINKLE,8.7286e-05,34369.848172288,,0.00087286,,3.66
10-04-2024 05:39:13,5tndCUU9jmHt7sW8QTSLSKjYkzGSZQVVbSAZs7V1DJQ2,DREYK,5.217e-05,57504.099922156,,0.0005217,,2.5
10-04-2024 20:40:35,CJNWwoV37YqzjiYC1JRJbiqKXFpTuQ3SVK433SRtxFw8,CWW,0.000631427,4751.143413,,0.00631427,,2.12
12-04-2024 03:04:53,EqLHquidpBdWWyE3LhdfszN38fuKSUEiRNonuG4bxPyi,homo,3.7697e-05,80503.749693246,,0.00037697,,0.57
12-04-2024 07:45:11,D72aGnyfNqzESMiYXXkUANTHdHSzo79yiVcFpKmoX1QC,ShibSeki,4.3586e-05,69634.586034829,,0.00043586,,0.51
12-04-2024 04:40:00,4FL8cCHQHZCHCpkjDgW81k6fGDsvytcL1t8qJsQiaHVW,NARP,0.000119036,25566.561914814,,0.00119036,,0.4
12-04-2024 10:33:41,CXnNxuRE9sm9AMPU7TtsAj1GgvQjWwvSXi5tRjE37mo3,BRAINFART,5.86992036714e-05,51304.683239,,0.000586992,,-0.37
11-04-2024 20:36:02,DB34KWhcH7bqsbA7nReDk2VBUexKbWa18dVvfD8XC8xP,BREXIT,2.3929e-05,127838.510726,,0.00023929,,-0.5
12-04-2024 08:34:35,3xPRZ9egML5oR7LhSLPi6kdCfnp3imyb5HK9Br8YMuwZ,HWIFH,0.000682413,4436.36054,,0.00682413,,-0.79
12-04-2024 03:09:00,BFL4zCrGtGG9Qp6dFdznx3TdbZT4zBD4p9Fftpbssc8w,PPB,0.000102739,29629.921479398,,0.00102739,,-4.29
11-04-2024 07:07:56,7vfoNFNnhpbjrhsiZSyWQp3ToFt93BNqFcb1pPzs1pmw,LORRY,2.6857e-05,111703.772641888,,0.00026857,,-4.4
12-04-2024 00:48:38,6XWiQippCPJNqKhYhQa4VTe7bszTqeUXLreXWBrgXHbS,ANDROW,1.458e-05,208052.680005,,0.0001458,,-4.51
12-04-2024 05:05:43,aXNx9xd9EUAd1xci3aUX1FjyNTAxaYrX29GsL7YtBJq,SOLNTN,6.4589e-05,47246.890953,,0.00064589,,-6.32
12-04-2024 01:11:24,CuT5GbirPtQos8ZAhfoKQ9SUVT4sqEyw7aiWWx9nDPL8,NINBA,1.8633e-05,162551.677605509,,0.00018633,,-6.75
11-04-2024 15:50:43,GgdQLEdMkSgq12d8S95FCLAd8kXq9pEKh1dEEifqptKK,IQ,2.6264e-05,115206.500994026,,0.00026264,,-6.87
11-04-2024 20:28:44,2v7qzrCwGYsEizhVVeyaunYokRG7HoQCRmgkAseoLJqJ,KITYEANU,8.533e-06,358406.684967808,,8.533e-05,,-7.64
11-04-2024 22:17:25,31pLZpyChVMeSewvF9TDZRLFKPgZrkskGP75YRaSzFMp,LINKELN,4.5375e-05,66782.230642,,0.00045375,,-8.33
12-04-2024 07:27:20,zZRRHGndBuUsbn4VM47RuagdYt57hBbskQ2Ba6K5775,GREG,9.984e-05,30411.229255,,0.0009984,,-9.06
11-04-2024 16:42:36,E1bcNNEiyiTGYuxbNWMsd54tom5WhWXPA6Z1G1QfsQ8d,Totoro,9.4149e-05,31955.661906,,0.00094149,,-9.76
2024-04-06T21:40:46.825Z,BSkz8QHwk1DaT3Dcf1L5vWsCRzgrfrLR3qYmwSt1rtUM,BITCAT,0.001031388,969.567334,,0.01031388,,-11.18
11-04-2024 21:57:26,2mrsQSyZ8HYmr13n887iUzymGfnewPSugTkSVrQQRrDy,$SPEPE,6.2974e-05,47929.460433216,,0.00062974,,-13.16
2024-04-08T08:38:32.579Z,CtjCDgCeFJ5bC7QrLciNc4iehBDQ4AXev6jLwxhjA44s,CHEETO,2.776e-05,72046.69357188,,0.0002776,,-16.71
12-04-2024 02:50:19,7FsUzap4C7sHTnYBWHUDWFDACx1HgfTH3UsrU3c9a7kT,SlerfAi,3.3595e-05,90252.389651418,,0.00033595,,-16.95
12-04-2024 09:04:16,3kDDEvQ6MxYZmgeJx5f6tyFxyQS6asmJMNwHvi8xfGba,$BRO ,7.748e-06,391246.483614,,7.748e-05,,-17.04
2024-04-08T13:34:50.439Z,8u5eF12UyBUKd8MGek8dpMQaQLP4G6z5c8u6qcY58bqZ,DOODLES,5.4604e-05,36627.228269686,,0.00054604,,-18.18
2024-04-08T11:13:00.794Z,JNv67DPPnRAKd8KHYddhbdz6qgvRBGspmbi76pzAMMv,UNDOGE,4.8135e-05,41550.077563,,0.00048135,,-18.5
11-04-2024 10:02:51,6y56NYaUtKtjT5LKrVvZ3rsLnKyQ96phU3ckSARUkNax,puten,0.00644549,465.441709679,,0.0644549,,-18.79
2024-04-08T15:28:39.130Z,13v9WK3r2JPgop4Rucp2mDiBMkPjZC3XSW3GnzWrvtst,Buu,0.002363148,846.328688,,0.02363148,,-20.15
11-04-2024 19:11:42,9M2EcHTSqPi1nG7TJNJGXRUJ21NtsrJeyeZ9QprovV8v,DAKE,1.0764e-05,283316.299056245,,0.00010764,,-21.32
12-04-2024 00:45:01,AasZUvU7orgshn1ZqhpbZQcqZgFG3RJEMHHj1zbHaHek,korn,0.001690139,1790.274796417,,0.01690139,,-26.47
11-04-2024 20:06:20,2SsU91ZE2dni5aD8i7bfTR4Bvf6UcGFBbLsvDucWUdw3,ket,1.4672e-05,208335.785160415,,0.00014672,,-26.84
2024-04-07T15:13:56.092Z,EMF5TkJZgREnwwkrsGEgJuTXWyjFo135bC4fHp6vXMtk,OTTER,6.0409e-05,16553.699990099,,0.00060409,,-30.26
2024-04-10T03:16:19.433Z,8AzMjNRwPeNtvohcS8WtG5LaG9RfmRhLm4gqbPQd6rii,Wellow,9.2614e-05,21595.031662,,0.00092614,,-31.26
2024-04-10T04:28:39.722Z,BC3hGPTFjEgyDibmNoum4TVQQxJv2sTt8SmGPNLoMuNK,ECLIPSAI,1e-09,2888091729.7035,,1e-08,,-33.82
11-04-2024 07:22:06,CrYCaVeEjGkEtTYV9R8KLTRvuaeKS27GMTbENodmh4tC,OLLIE,7.2251e-05,41521.757196,,0.00072251,,-34.0
11-04-2024 18:45:48,romeXVvaTkwG3WVrFjdDjMn4Y6v1d6PUTJn76jSu6X8,$ROME,0.005853009,524.314992,,0.05853009,,-35.65
11-04-2024 16:19:00,HbzZ2UGpXGYWtro3gGPcno7WPs8sPRyAuz1F5kWnSXBV,PISCO,1.4501e-05,210454.256314,,0.00014501,,-36.0
2024-04-08T20:22:17.477Z,D2oVMuxj5UC9XLzgkQgbsjT95qYHJxt243s7JTycBqcq,CATBELAM,2.332e-06,857550.186057704,,2.332e-05,,-36.51
10-04-2024 21:26:39,HcsLXbiyaaA4vFtxjzf4KKCUTb5PEnnjR7xRpG9EFsKW,Catflix,5.6635e-05,52970.43824299,,0.00056635,,-36.83
2024-04-07T12:03:47.220Z,VCLVJeVmrA7Wf4NnFqPbeJr7R1qoH6CG75aeXS7DVUU,MCAW,4.122e-06,242582.327704,,4.122e-05,,-37.52
2024-04-07T17:11:38.113Z,6SKeubG7DiSn7ku2ZZn1HodoQ3LnMicWib42RKGH3DjK,ZECATS,2.5101e-05,39839.225828674,,0.00025101,,-39.51
2024-04-08T15:32:59.400Z,B6VkZqaLXJkxH3z1sVUCsj26W42mMNrUtkHHo39xUSDA,LTC,0.018363297,108.912904729,,0.18363297,,-39.53
10-04-2024 20:25:56,Hi7uwhQSJoC2cLE2zScoxKhGboN5f1DzgbFDx9XvAKRX,SHOBI,1.36e-07,22092388.097875,,1.36e-06,,-39.59
