"date_time","address","token_amount_sold","sol_received","profit_in_usd"
"2024-04-09 02:32:50","pAtqKs3vce1CgYa6jhHchmS4dtehzrGJFQF3PKx6Yur",699383.810158799,0.001477294,0.25727757573847443
"2024-04-09 02:36:21","4MKuAnScYHpGJqfC74ogHSjbcK26M6RBXCYBS2AEcdYg",356654.044597,0.002584995,0.4506209446342023
"2024-04-09 02:43:22","EYJtBjaEhA6vKuAw8mBXaxgDY1e48ZDmknznKFZuhLXt",31650.395015,0.005379468,0.9360596636458445
"2024-04-09 03:47:40","2xhiipmqiRjZNHHry6uk8aJncnqjWdBifv5g1SJGhQSk",49314.71751117,0.004072403,0.6939885934243568
"2024-04-09 04:30:46","CostcoTwT6LgV53hLhKpoauHKaoahNxnFAYEeukAinoB",5917.854837162,0.002909152,0.5028848681072489
"2024-04-09 05:01:52","5kx3accCXXKn6ECzY1YkfS1qWy6D3HdJyqN8y58BRvY4",19862.105264667,0.010123458,1.7584362005087013
"2024-04-09 05:12:12","CPoTXyyKQ2gwKuuwmJmGA11G8bf3ppBQh4ctyReiU1Cy",197653.802352037,0.007746367,1.345469370979846
"2024-04-09 05:33:11","9SiKU8vnRiBYQSBff84K5zwG7habzwYVzn7KrtgCzNfg",19759.02,0.016970025,2.9572328819631855
"2024-04-09 06:37:47","4GCJwmLfuk1F6s5Z6TxeLoBYQocaDh9yNLFxPokDHV7r",24385.590481,0.0047357,0.828324504261983
"2024-04-09 08:21:39","3wprhhMbf2qsVLTvq22dBtYiJmzPA8evRYUcbWQfq5hj",18762.95,0.036872851,6.435622392292005
"2024-04-09 08:45:35","AYxrfFpQgXxXw7YzJib3AFi8vVHWWva5Ldoj2JjAZmcB",15211.63,0.019183817,3.3598904409563
"2024-04-09 08:52:54","2pamTyk5ikyd9ZsxwCqiXnfGYomnArbLF593wFaQ3J6z",23583.052275,0.003508371,0.614505232519334
"2024-04-09 10:09:41","DwFhn2UQNSdYr7oDwrBp9bVfaLZs1BX2UUVaUgegf7m5",17655.7,0.017435102,3.032838882046007
"2024-04-09 10:20:05","7toVautueJmLxDk24Btd588p1gzY1yzXMzvdGfjXAsx1",15838.086243,0.00456559,0.7947838115564073
"2024-04-09 10:57:16","CsP3CBf6EUGKpVjSNSwsr3v2h4ikrTxpV8G2euPhzcbF",56772.71650281,0.00427896,0.7437042486334118
"2024-04-09 14:06:25","3B3NgG5akjXt7UHace94CY5rDGzZL999bcWjpMGQeatz",74535.44,0.016630375,2.8418450523941527
"2024-04-09 14:29:16","E5MBirnq71DthjqwsAsgvCtgCAzShoWqnrzkmVQKviJc",13006.759109935,0.011251697,1.9413823795361207
"2024-04-09 16:56:24","7DJX7xzZ3g3pvdVbv8NRWH6BjsHmjDB7B41nXwXL5twL",38719.506199,0.006568462,1.1246434532403005
"2024-04-09 17:32:33","BUjqesUrfsXVAzihgemhb7EroWBkV74kUGtMJ3DzWWk9",27338.86,0.026009159,4.46333123856834
"2024-04-10 01:16:18","8BqhogRNYYKVdMMr1MCx5v8JdLJsbUhH872Str9DkTAZ",21397.024382,0.004883981,0.8087619012773692
"2024-04-10 01:39:32","8doS8nzmgVZEaACxALkbK5fZtw4UuoRp4Yt8NEaXfDMb",25584,0.065606961,10.761757992544627
