tx_date,address,usd_spent,sol_spent,tx_state,entryPrice,token_amount_received,TP,first_TP_profit_in_usd,second_TP_profit_in_usd,first_TP_amount_token_sold,second_TP_amount_token_sold
2024-04-02T12:46:03.951Z,cVrJ1CeZRK2fRVZaCoA9XCvD6VyZkGEtGYMRRE9vfUp,0.2,0.0011,Completed,0.000002388643546085594,83729.529392425,,,,,
2024-04-02T12:46:03.952Z,2BnU5n8GhkgWrNBosQ2BWL7jxvgv6ypE4Ev3pJhoG2K6,0.2,0.0011,Completed,0.0000022832821208128164,87593.20549,,,,,
2024-04-02T12:46:03.952Z,AMf5SpSfoNkR3w7EDdkSrd4HcU9hG7ZFf9GJ9ERssBor,0.2,0.0011,Completed,0.000005172825235514566,38663.591150708,,,,,
2024-04-02T12:46:03.952Z,HvgwLF3zc8F6eEDcjzQmSD8zTQUaKK6QUSpYXRuTp3SM,0.2,0.0011,Completed,0.000008493210307634587,23548.22178608,,,,,
2024-04-02T12:46:03.952Z,F5yxfuxm8vHQmebbsQABjfUGNqgr2BWc9KpPdJe2XqVw,0.2,0.0011,Completed,0.000006652722091738772,30062.882116834,,,,,
2024-04-02T12:46:03.952Z,GJ6WML2thTkj4zNSCwSQ8ZvtK4nNGCqZyvdVTYdD1gB7,0.2,0.0011,Completed,0.0000016413773693963644,121848.883583397,,,,,
2024-04-02T12:46:03.952Z,9KrJTXyHYfupdKpHVLPvdkcf4oihyrkxfuJrq9Lp33yZ,0.2,0.0011,Completed,0.000004597614853943687,43500.81647845,,,,,
2024-04-02T12:46:03.952Z,BK6yB2UHxCQfK5KGhpi6z8VEpZ7YY72csBLVtJLptvEs,0.2,0.0011,Completed,0.00014783289912450524,1352.878832685,,,,,
2024-04-02T12:46:03.952Z,G87R19cKQfKr2nwnqcFuQZRR5w6phPe58cHLvEAgyrr9,0.2,0.0011,Completed,0.00000458066036602009,43661.826902432,,,,,
2024-04-02T12:46:03.952Z,2j7Kgmy4QzKrqazJAbFjSbVxJcYkQdcAKZU59PFeAZnR,0.2,0.0011,Completed,0.0034430670173600307,58.087745313,,,,,
