"tx_date","address","usd_spent","sol_spent","tx_state","entryPrice","token_amount_received","TP","first_TP_profit_in_usd","second_TP_profit_in_usd","first_TP_amount_token_sold","second_TP_amount_token_sold","currentPrice","PNL"
"2024-04-02T12:46:03.952Z","9Zhvjcce3kHbYQGojybM9GbtE76rvoMJM36egCcmPs2s","0.15","0.0008","Completed","0.00002019268340426703","7428.433210036",,"","","","",0.00014350036204453272,610.6552367091977
"2024-04-02T12:46:03.952Z","37nQ5eaQsJSPWw6JAdsCSqxFQJmc1Pa4mQzQeiEmLyNt","0.15","0.0008","Completed","0.0000067127716594675776","22345.464378852",,"","","","",0.0000400155751268941,496.1110723981922
"2024-04-02T12:46:03.952Z","BGRW5qxa9uD7ELLmVHcLZyqg3nV7dFdbEDTZxijhEH5o","0.2","0.001","Completed","0.000004434036489640475","45105.627900734",,"","","","",0.000008690660380950649,95.99884667740555
"2024-04-03T02:36:23.288Z","7u8KFBfPaVah8KUZ5qjVPG84vir3azz4gvLGkfrrZAUc","0.4","0.0021","Completed","0.0000033457765251488306","119553.711072262",,"","","","",0.0000037516679891138766,12.13145770239364
"2024-04-03T19:43:08.923Z","GSJtH6X3JvxppViXtXptkPBK91hQtVNCYSfoMRjikiNF","1","0.0054","Pending","","",,"","","","",0.0010879009043921225,
"2024-04-03T01:05:15.291Z","D6nU7DL1BuCBTafhCUZKqJZiRabHydWRPQDCcoDQ4Sic","0.4","0.0022","Completed","0.0001687275167183059","2370.686227",,"","","","",0.0001602248881915897,-5.039266085395838
"2024-04-02T23:55:35.009Z","ELiFuznR6bzAgbadjsWKqd1rf9BTzyAZ8MoxMA5Lw1yo","0.4","0.0022","Completed","0.00001645987919147807","24301.514935",,"","","","",0.000014887024690801566,-9.555686784693004
"2024-04-02T12:46:03.952Z","J6Qdkb6a7EVjDq3qbBEVNHwMWHqhT1j65bc12jz2h8sf","0.2","0.001","Completed","0.0000016705503494808976","119721.024907838",,"","","","",0.0000014177709754646468,-15.131502866393632
"2024-04-02T12:46:03.952Z","BK6yB2UHxCQfK5KGhpi6z8VEpZ7YY72csBLVtJLptvEs","0.2","0.0011","Completed","0.00014783289912450524","1352.878832685",,"","","","",0.00012468985172456022,-15.65486947560562
"2024-04-02T12:46:03.952Z","DogsXoKZ9yr3coqUUT6AmqWVNYywT16uRoL9cJ5sviwW","0.2","0.001","Completed","0.0000074965820248840554","26678.825008",,"","","","",0.0000046192667482910855,-38.38169537853448
"2024-04-02T12:46:03.952Z","7WpbiMW9jjGLNHr8tonFZViF6RdbbpH2Bdas3zDqGP1s","0.15","0.0008","Completed","0.0000036784874904843836","40777.629498",,"","","","",0.000002113235962857127,-42.55149790984185
"2024-04-03T01:10:50.295Z","ErE2Wkr7Siy5mY7nrjbe3fGdh7zK67afdV9pR6WEYT4i","0.4","0.0022","Completed","0.000004867352912560185","82180.192639782",,"","","","",0.0000027570296254453134,-43.35669356682953
"2024-04-02T12:46:03.952Z","E4C5tMshPTuAWtvv3u8N6V2Vg26Y85boXvSVkL1CpCWy","0.15","0.0008","Completed","0.0000018972851656428467","79060.33458559",,"","","","",0.0000010667552440421494,-43.774648990063305
"2024-04-02T17:42:14.228Z","EZPCfFjmA7uRmYgJvmtJUonmdN46ZUDhtJv6VDjGcmiY","0.5","0.0028","Completed","0.000006827831544468363","73229.691849249",,"","","","",0.000003796666307362084,-44.39425925148971
"2024-04-02T23:37:38.663Z","CtjCDgCeFJ5bC7QrLciNc4iehBDQ4AXev6jLwxhjA44s","0.4","0.0022","Completed","0.00002612375840450377","15311.73247763",,"","","","",0.000014492995722136102,-44.521781675804
"2024-04-02T12:46:03.952Z","2BnU5n8GhkgWrNBosQ2BWL7jxvgv6ypE4Ev3pJhoG2K6","0.2","0.0011","Completed","0.0000022832821208128164","87593.20549",,"","","","",0.000001226491184210557,-46.28385283488563
"2024-04-02T12:46:03.952Z","2j7Kgmy4QzKrqazJAbFjSbVxJcYkQdcAKZU59PFeAZnR","0.2","0.0011","Completed","0.0034430670173600307","58.087745313",,"","","","",0.001811418209347483,-47.38940020004645
"2024-04-02T12:46:03.952Z","93A3nR1De5T4gDHpVrS2c4hHwH1cTYvi3hRghJrQaFPj","0.2","0.0011","Completed","0.000003912019862232811","51124.484804085",,"","","","",0.0000020249414824842604,-48.23795497478605
"2024-04-02T20:53:27.952Z","CozshVto67nZ4o7rzHYsG7HJx6SHAMTsm9dyXKsqJVXd","0.5","0.0027","Completed","0.000004165996258662286","120019.310857603",,"","","","",0.00000208965886874187,-49.840116529224495
"2024-04-02T23:21:10.768Z","4f76dmS2BjvzE31X2PQRAmnMrzE6LGjM4ypb5rVwQAEi","0.4","0.0022","Completed","0.000006837911012170841","58497.39771226",,"","","","",0.0000033921059133467933,-50.39265782621092
"2024-04-02T12:46:03.952Z","G87R19cKQfKr2nwnqcFuQZRR5w6phPe58cHLvEAgyrr9","0.2","0.0011","Completed","0.00000458066036602009","43661.826902432",,"","","","",0.000002262544600847721,-50.60658463937735
"2024-04-02T20:51:59.217Z","9GETZPG42akPfAJwCa6FC8NwQcYxQBRtwhYG8cdVbHZ9","0.5","0.0027","Completed","0.000003338707391984747","149758.556619952",,"","","","",0.0000015482012408299791,-53.62872336321672
"2024-04-02T12:46:03.952Z","FjhvCzEYkENYAY3QTjRjMCMK2hGpivqn8A2rruiLnPiE","0.2","0.001","Completed","0.000005979821424398542","33445.81481714",,"","","","",0.000002754807643031987,-53.931606857155124
"2024-04-03T08:45:36.631Z","AG6eNQAroYwom6p8QWsTSydikKrDUSyMmrQjHRfXF2eh","0.4","0.0021","Completed","0.0000027681856511446476","144498.978901433",,"","","","",0.0000012526948243302378,-54.746719252292664
"2024-04-02T21:24:35.843Z","JCATBhTZ6fnsTAPMFcnSe4XPBfarryBC6Ma8X9AM2T7c","0.5","0.0027","Completed","0.000017921705102106822","27899.13109",,"","","","",0.000008098597214282848,-54.811234934722805
"2024-04-02T12:46:03.952Z","2LVx2ke2ME5fjs6JjB9onFJwmM6JbvZyGD9meSGmKqj6","0.2","0.001","Completed","0.000003386255517563677","59062.288407549",,"","","","",0.00000150486830309355,-55.55951713365494
"2024-04-02T21:26:56.059Z","Hiqq4Kba2dawtgCtoysXKirk1KgBMSiT71FtMq76Aht","0.5","0.0027","Completed","0.00007311589302563316","6838.458498",,"","","","",0.00003186462099237315,-56.41902235783133
"2024-04-02T12:46:03.952Z","33chzPspABnU2s9HtqnmuaitZHRptxm78aJSycwnccB3","0.15","0.0008","Completed","0.00006493994203797737","2309.826514971",,"","","","",0.000026921434833476767,-58.54410400038098
