"address","usd_spent","sol_spent","tx_state","entryPrice","token_amount_received","TP","first_TP_profit_in_usd","second_TP_profit_in_usd","first_TP_amount_token_sold","second_TP_amount_token_sold","currentPrice","PNL"
"cVrJ1CeZRK2fRVZaCoA9XCvD6VyZkGEtGYMRRE9vfUp","0.2","0.0011","Completed","0.000002388643546085594","83729.529392425","","","","","","0.0000012925920208476345","-45.885939199011986"
"2BnU5n8GhkgWrNBosQ2BWL7jxvgv6ypE4Ev3pJhoG2K6","0.2","0.0011","Completed","0.0000022832821208128164","87593.20549","","","","","","0.0000018027417989680953","-21.046033578787693"
"AMf5SpSfoNkR3w7EDdkSrd4HcU9hG7ZFf9GJ9ERssBor","0.2","0.0011","Completed","0.000005172825235514566","38663.591150708","","","","","","0.000002345591142933255","-54.65551152145337"
"HvgwLF3zc8F6eEDcjzQmSD8zTQUaKK6QUSpYXRuTp3SM","0.2","0.0011","Completed","0.000008493210307634587","23548.22178608","","","","","","0.000002450591009760571","-71.14646969759217"
"6WrJFnajEVqfJWJjqBrpSCtenVhWEv39ZkNs91N6bYA8","0.2","0.0011","Completed","0.0000019025829964965923","105120.249875185","","","","","","0.0000012333448760279682","-35.175239224830456"
"F5yxfuxm8vHQmebbsQABjfUGNqgr2BWc9KpPdJe2XqVw","0.2","0.0011","Completed","0.000006652722091738772","30062.882116834","","","","","","0.000002151390527929292","-67.66150008579422"
"GJ6WML2thTkj4zNSCwSQ8ZvtK4nNGCqZyvdVTYdD1gB7","0.2","0.0011","Completed","0.0000016413773693963644","121848.883583397","","","","","","7.080815261449773e-7","-56.8605282766033"
"9KrJTXyHYfupdKpHVLPvdkcf4oihyrkxfuJrq9Lp33yZ","0.2","0.0011","Completed","0.000004597614853943687","43500.81647845","","","","","","0.0000016428354854574527","-64.26765752141503"
"BK6yB2UHxCQfK5KGhpi6z8VEpZ7YY72csBLVtJLptvEs","0.2","0.0011","Completed","0.00014783289912450524","1352.878832685","","","","","","0.00014742670416335825","-0.2747662824395373"
"G87R19cKQfKr2nwnqcFuQZRR5w6phPe58cHLvEAgyrr9","0.2","0.0011","Completed","0.00000458066036602009","43661.826902432","","","","","","0.0000012653433579263746","-72.37639866703829"
"2j7Kgmy4QzKrqazJAbFjSbVxJcYkQdcAKZU59PFeAZnR","0.2","0.0011","Completed","0.0034430670173600307","58.087745313","","","","","","0.002011264634221917","-41.58508608513659"
